run_id,stage,vpn,client_type,host,repeat,mtu,delay_ms,loss_pct,cpu_stress,tcp_throughput_mbps,udp_throughput_mbps,udp_loss_pct_actual,udp_jitter_ms,rtt_avg_ms,rtt_mdev_ms,cpu_avg_percent,cpu_max_percent,throughput_per_cpu,reconnect_ms,handshake_ms,folder
loss_wireguard_ubuntu_20260329T195322354294Z_r3_0f123d2a,loss,wireguard,RaspberryPi,ubuntu,3,1500,,1.0,False,9.134134374192383,49.99940216769294,0.9878885159784037,0.10178810929269323,12.891,0.176,0.03333333333333333,1.4,274.0240312257715,,1005.0,C:\vpn-thesis\results\loss_wireguard_ubuntu_20260329T195322354294Z_r3_0f123d2a
loss_wireguard_ubuntu_20260329T221604185623Z_r1_81539f4e,loss,wireguard,VM,ubuntu,1,1500,,1.0,False,6.634008327180634,16.405891316733452,0.9820239680426098,7.3136855515772865,15.932,2.418,0.2866666666666667,2.1,23.141889513420818,,671.0,C:\vpn-thesis\results\loss_wireguard_ubuntu_20260329T221604185623Z_r1_81539f4e
loss_wireguard_ubuntu_20260329T222816205963Z_r2_dcde1c40,loss,wireguard,VM,ubuntu,2,1500,,1.0,False,3.3766949623583122,4.735391621615942,1.0553479952239726,1.5635977715935914,19.57,2.722,2.4266666666666667,11.6,1.3914951767960078,,1263.0,C:\vpn-thesis\results\loss_wireguard_ubuntu_20260329T222816205963Z_r2_dcde1c40
loss_wireguard_ubuntu_20260329T224032004755Z_r3_64d09f61,loss,wireguard,VM,ubuntu,3,1500,,1.0,False,3.5760059118827114,4.93888117374663,1.0599010266637123,1.04395406717698,20.127,3.554,2.9491525423728815,13.2,1.2125537287418389,,1280.0,C:\vpn-thesis\results\loss_wireguard_ubuntu_20260329T224032004755Z_r3_64d09f61
mobility_ipsec_ubuntu_20260402T103041256377Z_r1_243c0445,mobility,ipsec,VM,ubuntu,1,1500,,,False,71.47976198200976,38.552350113160294,4.817724373856928,0.07876823087385344,14.396,0.697,0.3016666666666667,4.8,236.94948723318151,2195.0,2241.0,C:\vpn-thesis\results\mobility_ipsec_ubuntu_20260402T103041256377Z_r1_243c0445
mobility_ipsec_ubuntu_20260402T104256362335Z_r2_5f18588d,mobility,ipsec,VM,ubuntu,2,1500,,,False,69.81489869353827,29.459211663611764,1.2035417984300012,0.13321004157253757,15.685,2.832,0.25666666666666665,3.1,272.00609880599325,2195.0,2215.0,C:\vpn-thesis\results\mobility_ipsec_ubuntu_20260402T104256362335Z_r2_5f18588d
mobility_ipsec_ubuntu_20260402T105519793382Z_r3_d4ea1f13,mobility,ipsec,VM,ubuntu,3,1500,,,False,54.7981966019708,27.3574681315118,0.6663639762833182,0.12048650101786326,14.69,1.108,0.535,7.7,102.42653570461832,2244.0,2241.0,C:\vpn-thesis\results\mobility_ipsec_ubuntu_20260402T105519793382Z_r3_d4ea1f13
mobility_openvpn_ubuntu_20260402T090501214221Z_r1_20ffc6f0,mobility,openvpn,RaspberryPi,ubuntu,1,1500,,,False,65.59257905094233,49.999318167837146,0.007134485043061713,0.10813510256199518,12.918,0.249,0.028333333333333332,0.7,2315.0322017979647,7099.0,5099.0,C:\vpn-thesis\results\mobility_openvpn_ubuntu_20260402T090501214221Z_r1_20ffc6f0
mobility_openvpn_ubuntu_20260402T091040483710Z_r2_b4d297e3,mobility,openvpn,RaspberryPi,ubuntu,2,1500,,,False,72.9460647856861,49.99931983447828,0.0438261224073791,0.11339621670317747,12.981,0.64,0.025,0.7,2917.842591427444,7113.0,5099.0,C:\vpn-thesis\results\mobility_openvpn_ubuntu_20260402T091040483710Z_r2_b4d297e3
mobility_openvpn_ubuntu_20260402T091620515468Z_r3_8984b7d3,mobility,openvpn,RaspberryPi,ubuntu,3,1500,,,False,69.3170148205737,49.999320667798884,0.025140566342217466,0.13648485177755568,13.052,0.821,0.04,0.7,1732.9253705143426,7116.0,5101.0,C:\vpn-thesis\results\mobility_openvpn_ubuntu_20260402T091620515468Z_r3_8984b7d3
